,order_number,reference,quantity,ship_out_date,arrival_date
434,WCI124221,R308404,0,,11.10.2021
435,WCI124221,R308404,414,,01.11.2021
436,WCI124221,R308404,0,,06.12.2021
437,WCI124221,R308404,414,,13.12.2021
438,WCI124221,R308404,0,,10.01.2022
439,WCI124221,R308404,414,,17.01.2022
440,WCI124221,R308404,0,,14.02.2022
441,WCI124221,R308404,414,,28.02.2022
442,WCI124221,R308404,0,,28.03.2022
443,WCI124221,R308404,414,,04.04.2022
444,WCI124221,R308404,0,,02.05.2022
445,WCI124221,R308404,414,,16.05.2022
446,WCI124221,R308404,0,,06.06.2022
447,WCI124221,R308404,414,,27.06.2022
448,WCI124221,R308404,0,,25.07.2022
449,WCI124221,R308404,414,,30.08.2021
450,WCI124221,R308404,414,,01.11.2021
451,WCI124221,R308404,414,,20.12.2021
452,WCI124221,R308404,414,,24.01.2022
453,WCI124221,R308404,0,,31.01.2022
454,WCI124221,R308404,414,,07.03.2022
455,WCI124221,R308404,414,,28.03.2022
456,WCI124221,R308404,0,,11.04.2022
457,WCI124221,R308404,414,,09.05.2022
458,WCI124221,R308404,0,,23.05.2022
459,WCI124221,R308404,414,,20.06.2022
460,WCI124221,R308404,0,,27.06.2022
461,WCI124221,R308404,414,,30.08.2021
462,WCI124221,R308404,414,,11.10.2021
463,WCI124221,R308404,0,,01.11.2021
464,WCI124221,R308404,414,,06.12.2021
465,WCI124221,R308404,0,,20.12.2021
466,WCI124221,R308404,414,,10.01.2022
467,WCI124221,R308404,0,,24.01.2022
468,WCI124221,R308404,414,,14.02.2022
469,WCI124221,R308404,0,,07.03.2022
470,WCI124221,R308404,414,,28.03.2022
471,WCI124221,R308404,414,,02.05.2022
472,WCI124221,R308404,0,,09.05.2022
473,WCI124221,R308404,414,,06.06.2022
474,WCI124221,R308404,0,,20.06.2022
475,WCI124221,R308404,414,,25.07.2022
476,WCI124221,R308404,414,,30.08.2021
477,WCI124221,R308404,414,,01.11.2021
478,WCI124221,R308404,414,,20.12.2021
479,WCI124221,R308404,0,,24.01.2022
480,WCI124221,R308404,414,,31.01.2022
481,WCI124221,R308404,414,,07.03.2022
482,WCI124221,R308404,414,,11.04.2022
483,WCI124221,R308404,0,,16.05.2022
484,WCI124221,R308404,414,,23.05.2022
485,WCI124221,R308404,0,,20.06.2022
486,WCI124221,R308404,414,,27.06.2022
487,WCI124221,R308404,414,,01.11.2021
488,WCI124221,R308404,0,,22.11.2021
489,WCI124221,R308404,414,,06.12.2021
490,WCI124221,R308404,414,,03.01.2022
491,WCI124221,R308404,414,,07.02.2022
492,WCI124221,R308404,0,,14.03.2022
493,WCI124221,R308404,414,,21.03.2022
494,WCI124221,R308404,0,,11.04.2022
495,WCI124221,R308404,414,,18.04.2022
496,WCI124221,R308404,0,,16.05.2022
497,WCI124221,R308404,414,,23.05.2022
498,WCI124221,R308404,0,,20.06.2022
499,WCI124221,R308404,414,,11.07.2022
500,WCI124221,R308404,0,,01.08.2022
501,WCI124221,R308404,414,,05.09.2022
502,WCI124221,R308404,414,,30.08.2021
